date,capital,position,price,total_value,daily_return,cummax,drawdown
2021-12-07,-40.726984,22586,5.0,112889.273016,0.006038408135446094,130968.865084,-13.804496249092654
2021-12-08,-40.726984,22586,5.07,114470.293016,0.014005050770199423,130968.865084,-12.597323842898275
2021-12-09,-40.726984,22586,5.16,116503.033016,0.017757795026486667,130968.865084,-11.045245034934064
2021-12-10,-40.726984,22586,5.14,116051.313016,-0.003877323948621725,130968.865084,-11.39015143670389
2021-12-13,-40.726984,22586,5.16,116503.033016,0.00389241610681057,130968.865084,-11.045245034934064
2021-12-14,-40.726984,22586,5.13,115825.453016,-0.005815985922932532,130968.865084,-11.562604637588802
2021-12-15,-40.726984,22586,5.08,114696.153016,-0.009750015826348712,130968.865084,-12.424870642013364
2021-12-16,-40.726984,22586,5.11,115373.733016,0.005907608774859963,130968.865084,-11.907511039358626
2021-12-17,-40.726984,22586,5.03,113566.853016,-0.01566110372583185,130968.865084,-13.287136646437927
2021-12-20,-40.726984,22586,4.96,111985.833016,-0.013921491685406129,130968.865084,-14.494309052632303
2021-12-21,-40.726984,22586,4.98,112437.553016,0.004033724515273729,130968.865084,-14.149402650862477
2021-12-22,-40.726984,22586,4.98,112437.553016,0.0,130968.865084,-14.149402650862477
2021-12-23,-40.726984,22586,5.02,113340.993016,0.008035037901184428,130968.865084,-13.459589847322839
2021-12-24,-40.726984,22586,5.0,112889.273016,-0.0039854953444444785,130968.865084,-13.804496249092654
2021-12-27,-40.726984,22586,5.0,112889.273016,0.0,130968.865084,-13.804496249092654
2021-12-28,-40.726984,22586,5.03,113566.853016,0.006002164615799721,130968.865084,-13.287136646437927
2021-12-29,111941.022392,0,4.96,111941.022392,-0.014316066535461136,130968.865084,-14.528523767687872
2021-12-30,111941.022392,0,5.0,111941.022392,0.0,130968.865084,-14.528523767687872
2021-12-31,111941.022392,0,5.01,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-04,111941.022392,0,4.99,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-05,111941.022392,0,4.94,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-06,111941.022392,0,4.89,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-07,111941.022392,0,4.9,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-10,111941.022392,0,4.91,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-11,111941.022392,0,4.87,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-12,111941.022392,0,4.92,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-13,111941.022392,0,4.84,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-14,111941.022392,0,4.79,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-17,111941.022392,0,4.84,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-18,111941.022392,0,4.88,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-19,111941.022392,0,4.78,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-20,111941.022392,0,4.82,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-21,111941.022392,0,4.78,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-24,111941.022392,0,4.79,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-25,111941.022392,0,4.68,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-26,111941.022392,0,4.71,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-27,111941.022392,0,4.63,111941.022392,0.0,130968.865084,-14.528523767687872
2022-01-28,111941.022392,0,4.55,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-07,111941.022392,0,4.63,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-08,111941.022392,0,4.6,111941.022392,0.0,130968.865084,-14.528523767687872
2022-02-09,111941.022392,0,4.64,111941.022392,0.0,130968.865084,-14.528523767687872
